Nama_Perusahaan,Emisi_2020,Emisi_2021,Emisi_2022,Emisi_2023
PT_Textilindo,65.0,64.2,63.5,62.8
PT_Semindo,48.0,47.5,46.8,46.2
PT_EnergiJaya,80.0,79.5,78.8,78.3
PT_Pulpindo,58.0,57.2,56.5,55.8
PT_AgroMakmur,45.0,44.3,43.6,42.9
PT_BajaSentosa,70.0,69.5,69.0,68.5
PT_KimiaFarindo,52.0,51.3,50.6,49.9
PT_MiningCo,85.0,84.2,83.5,82.8
PT_PetroJaya,63.0,62.5,62.0,61.5
PT_SinarLogam,56.0,55.3,54.6,53.9
PT_IndoPlastik,50.0,49.2,48.5,47.8
PT_BumiEnergi,78.0,77.5,76.8,76.1
PT_TextilMakmur,67.0,66.5,66.0,65.5
PT_SemenBerkah,46.0,45.5,45.0,44.5
PT_KertasJaya,61.0,60.3,59.6,58.9
PT_AgroSentosa,44.0,43.5,43.0,42.5
PT_BajaIndo,73.0,72.5,72.0,71.5
PT_KimiaJaya,51.0,50.5,50.0,49.5
PT_TambangMakmur,83.0,82.5,82.0,81.5
PT_PetroMakmur,65.0,64.5,64.0,63.5
PT_LogamBerkah,57.0,56.5,56.0,55.5
PT_PlastikJaya,49.0,48.5,48.0,47.5
PT_EnergiMakmur,80.0,79.5,79.0,78.5
PT_TextilBerkah,69.0,68.5,68.0,67.5
PT_SemenJaya,47.0,46.5,46.0,45.5
PT_KertasMakmur,62.0,61.5,61.0,60.5
PT_AgroBerkah,43.0,42.5,42.0,41.5
PT_BajaMakmur,74.0,73.5,73.0,72.5
PT_KimiaMakmur,53.0,52.5,52.0,51.5
PT_TambangJaya,87.0,86.5,86.0,85.5